tensor([[2.4445]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9153]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3537]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.7501]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0963]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1912]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0420]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.1232]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5270]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0808]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8065]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3683]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0474]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5762]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0187]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0510]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4639]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8811]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8373]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.2206]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5280]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8236]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7155]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1854]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3012]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1172]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9384]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6595]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8816]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5757]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.7932]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1250]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0389]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2887]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5996]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8445]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2917]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0844]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.5307]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4304]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3312]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2471]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4846]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7149]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6027]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.6913]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.1241]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2736]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.4922]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9165]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.9182]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5392]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.9549]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.5160]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.9564]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.1061]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[8.1516]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.9717]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[9.7585]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8207]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.4976]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.3152]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0595]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8203]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5510]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3069]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.7421]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9538]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8172]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6704]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4155]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1226]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5347]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3659]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5582]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9127]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1068]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8939]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.5819]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.7381]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.9112]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.3176]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9792]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.9777]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2191]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.7303]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5865]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7613]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.8497]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5158]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8387]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8892]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4616]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.0343]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5882]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2434]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5420]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-2.0996]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.0781]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4397]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5615]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.1514]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8234]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3454]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5880]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9720]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9772]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4684]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8416]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0452]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7080]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0831]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7158]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7310]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9085]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0108]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0184]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0948]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0543]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0903]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1824]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4397]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3103]], device='cuda:0', grad_fn=<SumBackward1>)
